Year Added,Number,Family,Subfamily,Tribe,Genus,Species,Code,Common Name,ITIS ID,Other Scientific Names,Native?,Nesting Behavior,Voltinism,Sociality,Foraging Behavior,Tongue Length,Other Notes,Sources
2015,72,Andrenidae,Andreninae,N/A,Andrena,biscutellata,anbiscutellata,Mining Bee,654186,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1967; VanDyk 2015
2015,73,Andrenidae,Andreninae,N/A,Andrena,bisulcata,anbisulcata,Mining Bee,752198,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,74,Andrenidae,Andreninae,N/A,Andrena,blaisdelli,anblaisdelli,Mining Bee,654187,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge and Thorp 2005
2015,75,Andrenidae,Andreninae,N/A,Andrena,blanda,anblanda,Mining Bee,752199,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,76,Andrenidae,Andreninae,N/A,Andrena,blennospermatis,anblennospermatis,Mining Bee, 654189,.,.,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Thorp 2015a
2015,77,Andrenidae,Andreninae,N/A,Andrena,bocensis,anbocensis,Mining Bee,654189,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,78,Andrenidae,Andreninae,N/A,Andrena,boronensis,anboronensis,Mining Bee, 654190,Andrena eulobi,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge and Thorp 2005
2015,79,Andrenidae,Andreninae,N/A,Andrena,braccata,anbraccata,Mining Bee, 654191,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1967; Mitchell 1960
2015,80,Andrenidae,Andreninae,N/A,Andrena,bradleyi,anbradleyi,Mining Bee,654192,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Boulanger et al. 1967; Hilty 2015; ITIS 2015; Mitchell 1960; VanDyk 2015
2015,81,Andrenidae,Andreninae,N/A,Andrena,brevicornis,anbreivcornis,Mining Bee,654193,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,82,Andrenidae,Andreninae,N/A,Andrena,brevipalpis,anbrevipalpis,Mining Bee,654194,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Hilty 2015; ITIS 2015; VanDyk 2015
